id,group,time,y
1,low_AR,1,41.41337577695138
1,low_AR,2,41.49698624287432
1,low_AR,3,42.453683385073695
1,low_AR,4,40.736288092603374
1,low_AR,5,39.88770827998085
1,low_AR,6,43.370351059167064
1,low_AR,7,38.98027945851363
1,low_AR,8,40.88013885133379
1,low_AR,9,42.56473282054139
1,low_AR,10,41.872318604171284
1,low_AR,11,39.980175043282784
1,low_AR,12,41.72564386359643
1,low_AR,13,42.36921229982477
1,low_AR,14,41.73301976730001
1,low_AR,15,39.97991555794624
1,low_AR,16,40.49140350061414
1,low_AR,17,40.31970300789371
1,low_AR,18,42.07972016102924
1,low_AR,19,40.324392666843195
1,low_AR,20,40.078094128000366
1,low_AR,21,41.91381690931494
1,low_AR,22,42.17934462525189
1,low_AR,23,42.022925288946894
1,low_AR,24,40.56408689112069
1,low_AR,25,40.56356277094539
1,low_AR,26,43.283195561565186
1,low_AR,27,39.98537103882564
1,low_AR,28,41.85072720098787
1,low_AR,29,40.37433591399915
1,low_AR,30,41.8603292452559
1,low_AR,31,41.81484270011829
1,low_AR,32,42.57014357323004
1,low_AR,33,42.00441139144499
1,low_AR,34,39.935281721488465
1,low_AR,35,42.791031196339496
1,low_AR,36,40.71570237197554
1,low_AR,37,42.08848382008838
1,low_AR,38,41.589331746540054
1,low_AR,39,42.05345605131997
1,low_AR,40,40.03277607148709
1,low_AR,41,41.19229552078695
1,low_AR,42,40.376152971404345
1,low_AR,43,40.87933576930896
1,low_AR,44,42.675528509725375
1,low_AR,45,41.83028289087372
1,low_AR,46,39.82687390132857
1,low_AR,47,42.080057303277584
1,low_AR,48,41.7242299819599
1,low_AR,49,41.04574303683031
1,low_AR,50,39.91265365736516
1,low_AR,51,41.85798972727746
1,low_AR,52,43.346264449966796
1,low_AR,53,41.28175063438581
1,low_AR,54,42.726508378930355
1,low_AR,55,40.11324481485027
1,low_AR,56,40.642783737494376
1,low_AR,57,39.73198650878579
1,low_AR,58,39.762363080705
1,low_AR,59,40.0235516627755
1,low_AR,60,41.42568419091188
1,low_AR,61,39.98957150569505
1,low_AR,62,41.03283271556978
1,low_AR,63,42.02079153188212
1,low_AR,64,41.27938764911039
1,low_AR,65,41.391396856444985
1,low_AR,66,43.25617428192442
1,low_AR,67,40.080265748468435
1,low_AR,68,41.07776837707551
1,low_AR,69,41.48486757269342
1,low_AR,70,43.55815850630761
1,low_AR,71,40.95943177187411
1,low_AR,72,40.25092886991516
1,low_AR,73,42.07154514967469
1,low_AR,74,40.46755185820921
1,low_AR,75,41.83391816493181
1,low_AR,76,40.954656978884394
1,low_AR,77,39.88805506620247
1,low_AR,78,41.4532980470307
1,low_AR,79,40.533309793511606
1,low_AR,80,41.91362851473699
1,low_AR,81,40.612881065501185
1,low_AR,82,43.18821504252291
1,low_AR,83,40.11184678674458
1,low_AR,84,40.07441374265082
1,low_AR,85,41.125289378563664
1,low_AR,86,40.46153740787944
1,low_AR,87,40.143962782992176
1,low_AR,88,42.03071274722259
1,low_AR,89,41.43851966485777
1,low_AR,90,40.37077848103424
1,low_AR,91,40.645657834562954
1,low_AR,92,41.495745303011525
1,low_AR,93,42.978385834230224
1,low_AR,94,40.57131809632145
1,low_AR,95,40.164004873574754
1,low_AR,96,41.20434376605531
1,low_AR,97,42.99444961282958
1,low_AR,98,42.79425237069189
1,low_AR,99,42.35790459044806
1,low_AR,100,40.800260478628964
1,low_AR,101,41.31997347899916
1,low_AR,102,39.96541024115199
1,low_AR,103,41.493260208866644
1,low_AR,104,41.55940867945843
1,low_AR,105,40.76036131645074
1,low_AR,106,42.51975293773658
1,low_AR,107,43.27084008788397
1,low_AR,108,40.940674582108024
1,low_AR,109,39.291465380280954
1,low_AR,110,41.77582957695295
1,low_AR,111,42.57341950995851
1,low_AR,112,40.72054173383249
1,low_AR,113,41.068445247179724
1,low_AR,114,38.73253563690071
1,low_AR,115,41.81499786351546
1,low_AR,116,41.211788448175255
1,low_AR,117,41.34978006319517
1,low_AR,118,41.99155521981055
1,low_AR,119,42.22467832140017
1,low_AR,120,41.148066175294474
1,low_AR,121,41.126119627440005
1,low_AR,122,41.21302376486144
1,low_AR,123,41.261108714518315
1,low_AR,124,41.4784337810043
1,low_AR,125,41.972013381126054
1,low_AR,126,42.02892976748468
1,low_AR,127,41.06204882269302
1,low_AR,128,41.44345840395402
1,low_AR,129,38.79699039309307
1,low_AR,130,40.60234974290413
1,low_AR,131,38.97284669967301
1,low_AR,132,40.12784395232701
1,low_AR,133,43.40216248531851
1,low_AR,134,43.11680360364466
1,low_AR,135,40.57593915047548
1,low_AR,136,40.72044384265431
1,low_AR,137,42.433614813725455
1,low_AR,138,39.8982232803827
1,low_AR,139,40.93111201236741
1,low_AR,140,41.80128305201825
1,low_AR,141,42.79522480912287
1,low_AR,142,42.38896157599006
1,low_AR,143,40.46030600682407
1,low_AR,144,42.0947438550324
1,low_AR,145,41.06468058243429
1,low_AR,146,42.016620391452044
1,low_AR,147,41.187528726464784
1,low_AR,148,39.61075592817983
1,low_AR,149,42.66648930196278
1,low_AR,150,42.374094634869024
1,low_AR,151,40.899001030386096
1,low_AR,152,41.13028107860892
